"site.id","site.num","lat","long","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","P5","P6","P7","P8","P9","P10","P11","P12"
"0T",12,55.54449,118.74207,0.0952070000217558,0.0555805070228778,-0.0948854517466375,-0.0870596586645668,-0.294026062361516,0.0179672888600876,0.297565517150337,0.201886228296288,0.233945817061295,-0.193885540241332,0.125427205189122,0.233789134666619,-0.137993195219213,0.132191963423309,0.147365541592618,-0.119099864690198,0.0826217235648237,0.0026152939897432,0.0230622753428475,0.234918748537975
"0U",13,56.4652,118.31264,0.266261090563255,0.269637801182903,0.205900709418788,0.321278050209916,0.102123022217338,0.139064209583169,0.0595737385060069,0.260828253387205,0.225278358368861,-0.240289004581675,-0.183362859546016,0.197046449184587,-0.0172028977380157,-0.111262488127166,0.062087689528659,0.116116086701627,0.175160482764502,-0.0962871055928421,-0.0502452839494517,0.10850251774491
"0V",14,55.5985,118.10932,0.314468862049181,0.172251832032351,0.28143139114829,0.201846341228588,0.0386530335693754,0.135431113188846,0.286293945661827,0.408023263793361,0.0176490902871557,-0.26104903480826,-0.0260970536427634,0.0223506084378023,-0.100817576502691,0.325297967305197,0.261951367056509,0.0710989941051051,0.144058198418755,-0.147333084000363,-0.00747337513545159,0.209313277050227
"0X",15,54.32247,115.70438,0.238027789741892,0.191526568750923,0.355828296971317,0.367767066778345,0.147422426546471,-0.0274106158341602,0.194937809152935,0.2256582839524,0.213978849682582,-0.0200822518642594,-0.0280371711388716,0.166238411843174,0.232411403970194,0.223241658183256,0.295676992220351,-0.235741884451866,0.231173026375528,0.0631876373753973,-0.241088689157294,0.337910046900662
"0Y",16,54.4762,116.78887,-0.128175846261742,-0.202235985028065,-0.0726174539928712,-0.124693069866842,-0.0143192634566844,-0.24570302267096,-0.207408141493072,-0.15013403164463,-0.201392771297142,0.239837023629322,-0.167882760628434,-0.175679923873508,0.0113084541416356,-0.112926802217363,-0.23767456396883,-0.205261185437153,-0.265746703840427,0.175013304827942,-0.117116730904973,-0.261283465172265
"0Z",17,53.04467,115.01394,-0.0997895763501869,0.104821059498544,0.129241433966601,0.345146203865931,0.00215437557679691,0.148006303834872,-0.0865286234656725,-0.0198090454239845,0.28806594989432,0.0615990468116225,0.338284579352769,-0.0535501410944068,-0.0278964047485309,0.131061191784897,-0.059658982689301,0.0164615274270867,0.417142790749243,0.151597545607429,0.250812114710394,0.273014412825166
"AA",18,55.72825,110.98185,-0.202453423419747,-0.183362613417193,-0.0713177813670668,0.0905413830842041,0.168900581861911,-0.29949832526422,0.159116347986879,0.0329646761282477,0.115773711844267,0.167510266804105,0.0556148432526826,-0.136362701178382,-0.208498434699173,-0.0359089100673765,0.0236276189761384,-0.42303050480624,-0.0803914102519705,0.192459368919066,-0.0855326875473849,-0.0459242145879331
"CC",19,55.81953,115.21168,-0.104594987166992,-0.0798613219737642,0.175882034211457,0.190260389640638,0.358330188844886,0.051455592635212,-0.0750462001719766,0.0449236946295586,-0.00268086631728903,0.209607260535857,-0.210587513723401,-0.174360717319294,0.161644037872056,0.0526475881841682,-0.342843933020562,-0.281053680855393,-0.07082505179479,0.0776657005606888,-0.232626592536725,-0.0518459732814499
"DD",20,56.8031,115.2583,0.0202386269211834,-0.136601563342338,0.0846285172089691,0.145315406475671,0.147746343303191,-0.0533395316090474,-0.00596467903554716,0.0704400843136782,0.0524243808251023,0.184743970696272,-0.0375735839622,-0.257141047327649,-0.0640162578629285,0.0260492635483362,-0.266673550887805,-0.382398540812854,-0.0190836777926246,0.234323948084408,-0.0651753165785456,-0.203593274902377
"EE",21,57.18723,115.11473,0.181342523045066,0.0738966109472885,0.196075614339036,0.22501437877094,0.125326303363819,0.000439011755625835,0.0641996178626055,0.0262081209951627,-0.127601438017513,0.291980866130397,-0.0667461189122638,-0.161880087868823,-0.194857730912236,-0.112436522666676,-0.0238133003991552,-0.188738471078801,0.111712630380882,0.155377174116816,-0.0626794418854682,-0.0572662149269033
