"site.id","site.num","lat","long","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","P5","P6","P7","P8","P9","P10","P11","P12"
"AA",18,55.72825,110.98185,0.0859939658823214,0.210252651807343,-0.0617675696515469,-0.189060892567895,0.0972971092374925,0.00659698696123896,0.00277162576779961,0.0532210720047502,0.115884658650446,0.00461300374808855,-0.246229809769908,0.435119980345477,0.264971399157955,0.0964611401747003,-0.274419980831435,0.451644008519368,0.248776581382072,-0.0351577330545117,-0.0580005592199813,0.47843745924253
"CC",19,55.81953,115.21168,0.0287302175001037,0.194031281667312,-0.148009279369185,-0.0299906935257095,0.191185562088888,0.230018797405201,-0.110869257888897,0.172848508186254,0.298030944995621,0.0904082969750519,0.189712665767959,0.252937165797725,0.0692397692266725,0.326588357722364,-0.0448581284616519,0.341753848223943,0.0925491822970919,-0.00396237708891701,0.205591851741278,0.310221652632959
"DD",20,56.8031,115.2583,0.00327959638097715,0.0475992215931924,-0.182913594756863,-0.0143629517573233,0.247286675441089,0.227159533561289,-0.0953417753733417,0.247478266399255,0.218403523941219,0.251616188189063,-0.0767527496684573,0.329240956092514,0.196642197559636,0.0740794825643899,0.054893198635774,0.287602519469714,0.0305272692166287,0.0646506509933718,0.0472207589604531,0.330257546898885
"EE",21,57.18723,115.11473,-0.184314925264172,-0.0936341817001818,-0.320321595622509,0.0594617712637061,0.371105371768928,-0.126847018684441,-0.107517567886605,0.0249363024140986,0.0906446648547565,0.118608626084823,-0.215548164520644,0.222941344998682,0.331149534715983,-0.0474072846224843,0.0227702495914817,0.220928301721331,0.0105595349387196,0.210014446873133,-0.180389458186098,0.186510189071458
"FF",22,56.43615,115.32547,0.0609039388494016,0.0931627919797732,-0.112977340745864,0.191783584700498,0.0774700955574725,0.276908949961185,-0.022222098940791,-0.00644872686026982,0.0580254261326889,0.0563544520674703,0.347494441694813,0.0818454014724185,0.116419776923409,0.20557259911811,0.0477666320954195,0.118318838192975,0.0133295040093121,0.0597294979150048,0.326339946406048,0.126258283715862
"HH",23,58.52923,117.292,0.150014879267403,-0.0386184703763168,0.158979370449036,0.0145039523016711,0.342568482769137,0.365403996878563,0.0753404919286202,-0.117960188871941,0.198046320101542,0.172321714935909,0.170473975573978,0.00916635385809215,0.163493019840402,0.181196261955909,0.157106551839656,0.283409843493265,0.112284563430086,0.156547717745496,0.12150928390826,0.141614220878129
"JJ",24,57.84962,115.37582,-0.0828168885570837,-0.177408907552575,-0.200843769648862,0.0320446844710793,0.224614599718899,-0.0273744445720224,-0.117470541533143,-0.199137467861417,-0.0820411453323683,0.0803580592831916,-0.037584161958965,-0.127390072692307,0.16932992807236,0.0446820247713093,-0.031815136931218,0.0615119705085766,-0.156496251487148,0.224201251677845,-0.0828150225806034,-0.149416039612251
"KK",25,57.99397,117.41682,-0.181626230154245,-0.218011344075748,-0.222349007306452,0.217492477826179,0.400970927703357,0.013570021789442,-0.143742077873317,-0.164132903886763,0.0952892211641677,0.123824049883805,-0.164072395217877,-0.224076809597313,0.224618787096335,-0.181206501887187,-0.0271508770786793,0.0795886272735459,-0.138930733354739,0.156025373795467,-0.200637763407134,-0.235196965236809
"MM",26,53.74975,116.61757,0.139398445862771,-0.0773749022586104,-0.119354446231892,-0.0930192944428368,0.369934335022125,0.187143382827225,0.0407459257154948,-0.0870018530656883,0.139538602981675,0.163807752332051,-0.0540007941095531,0.106886412070899,0.297690919181404,0.173397374698511,0.0812238331677138,0.153659533455972,0.0179416089047609,0.0345605371646565,0.0443656381313395,0.208513838483174
"PP",27,58.781,117.37814,-0.412489716497341,-0.223147616739754,-0.0799507003465641,0.0582741363655741,0.0580456685505145,-0.169995789329581,-0.180370033081695,-0.240937458369922,0.142637146627901,-0.241364399367917,-0.0183758999653131,0.018998686523102,0.451203509391266,0.143442455509163,0.113368444539847,-0.11501051099349,0.0703448298669696,0.0444536342873209,0.0838641013015823,-0.13695995782382
